Altium Designer Pick and Place Locations
Z:\GitHub\Dawn\.\2017-08-16\Pick Place for Dawn.txt

========================================================================================================================
File Design Information:

Date:       16/08/17
Time:       08:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer    Footprint           Center-X(mil) Center-Y(mil) Rotation Description                        
P2         "Header 7"                 TopLayer HDR1X7              825.000       1270.000      360      "Header, 7-Pin"                    
P3         "Header 3"                 TopLayer HDR1X3              190.000       810.000       90       "Header, 3-Pin"                    
A2         CONSMA003.062              TopLayer SMA_EDGE_MNT        1625.000      1880.000      270      "CONN SMA JACK 50 OHM EDGE MNT"    
U2         "DW1000 IC"                TopLayer QFN-48              900.000       1875.000      90       "UWB DW1000"                       
C41        GRM1885C1H120JA01D         TopLayer CAPC1608X08N_(0603) 1200.000      1880.000      180      "CAP CER 12PF 50V NP0 0603"        
C40        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 1115.000      2210.000      270      "CAP CER 0.1UF 16V 10% X7R 0603"   
C39        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 1206.075      2234.858      225      "CAP CER 0.1UF 16V 10% X7R 0603"   
C38        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 1244.966      2195.967      225      "CAP CER 1UF 10V 10% X5R 0603"     
C37        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 1283.857      2157.076      225      "CAP CER 10UF 6.3V 20% X5R 0603"   
C36        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 1365.000      2110.000      180      "CAP CER 0.1UF 16V 10% X7R 0603"   
C35        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 1365.000      2055.000      180      "CAP CER 1UF 10V 10% X5R 0603"     
C34        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 1365.000      2000.000      180      "CAP CER 10UF 6.3V 20% X5R 0603"   
C33        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 1364.307      1741.569      180      "CAP CER 0.1UF 16V 10% X7R 0603"   
C32        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 1364.307      1686.569      180      "CAP CER 1UF 10V 10% X5R 0603"     
C31        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 1364.307      1631.569      180      "CAP CER 10UF 6.3V 20% X5R 0603"   
C30        GRM1885C1H120JA01D         TopLayer CAPC1608X08N_(0603) 1200.000      1809.567      180      "CAP CER 12PF 50V NP0 0603"        
C29        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 945.000       2210.000      270      "CAP CER 0.1UF 16V 10% X7R 0603"   
C28        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 1000.000      2210.000      270      "CAP CER 1UF 10V 10% X5R 0603"     
C27        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 1055.000      2210.000      270      "CAP CER 10UF 6.3V 20% X5R 0603"   
C26        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 1099.894      1512.111      90       "CAP CER 0.1UF 16V 10% X7R 0603"   
C25        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 989.894       1512.111      90       "CAP CER 0.1UF 16V 10% X7R 0603"   
C24        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 770.000       2210.000      270      "CAP CER 0.1UF 16V 10% X7R 0603"   
C23        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 825.000       2210.000      270      "CAP CER 1UF 10V 10% X5R 0603"     
C22        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 880.000       2210.000      270      "CAP CER 10UF 6.3V 20% X5R 0603"   
C21        GRM1885C1H180JA01D         TopLayer CAPC1608X08N_(0603) 1192.786      1536.600      225      "CAP CER 18PF 50V NP0 0603"        
C20        GRM188R71H821KA01D         TopLayer CAPC1608X08N_(0603) 1237.328      1492.058      225      "CAP CER 820PF 50V X7R 0603"       
C19        GRM1885C1H270JA01D         TopLayer CAPC1608X08N_(0603) 897.308       1480.906      360      "CAP CER 27PF 50V NP0 0603"        
C18        GRM1885C1H1R2CA01D         TopLayer CAPC1608X08N_(0603) 897.308       1542.402      180      "CAP CER 1.2PF 50V NP0 0603"       
C17        GRM188R71C104KA01D         TopLayer CAPC1608X08N_(0603) 605.000       2210.000      270      "CAP CER 0.1UF 16V 10% X7R 0603"   
C16        GRM188R61A105KA61D         TopLayer CAPC1608X08N_(0603) 660.000       2210.000      270      "CAP CER 1UF 10V 10% X5R 0603"     
C15        GRM188R60J106ME47D         TopLayer CAPC1608X08N_(0603) 715.000       2210.000      270      "CAP CER 10UF 6.3V 20% X5R 0603"   
